Date,Cases_Mean,Cases_LB,Cases_UB,Deaths_Mean,Deaths_LB,Deaths_UB,hospitalized_best,hospitalized_mean,hospitalized_worst,ICU_best,ICU_mean,ICU_worst,total_beds,regular_bed_supply_best,regular_bed_supply_mean,regular_bed_supply_worst,total_ICU_beds,ICU_bed_supply_best,ICU_bed_supply_mean,ICU_bed_supply_worst,patient_vent_lb,patient_vent_mean,patient_vent_ub,total_vents,open_vents_lb,open_vents_mean,open_vents_ub,med_tech,med_tech_active,med_tech_supply,med_tech_demand,nurse,nurse_active,nurse_supply,nurse_demand,phys,phys_active,phys_supply,phys_demand,resp,resp_active,resp_supply,resp_demand
2020-03-07,10,7,12,0,0,0,2.1,2.6,3.1,0.5,0.85,1.2,9024.4,9022.3,9021.8,9021.3,1085,1084.5,1084.15,1083.8,0.136,0.391,0.595,2325,2324.864,2324.609,2324.405,0,,,,0,,,,10703,3820.971,,1,0,,,
2020-03-08,13,10,16,0,0,0,2.73,3.38,4.03,0.65,1.105,1.56,9024.4,9021.67,9021.02,9020.37,1085,1084.35,1083.895,1083.44,0.1768,0.5083,0.7735,2325,2324.8232,2324.4917,2324.2265,0,,,,0,,,,10703,3820.971,,1,0,,,
2020-03-09,17,13,21,0,0,0,3.57,4.42,5.27,0.85,1.445,2.04,9024.4,9020.83,9019.98,9019.13,1085,1084.15,1083.555,1082.96,0.2312,0.6647,1.0115,2325,2324.7688,2324.3353,2323.9885,0,,,,0,,,,10703,3820.971,,1,0,,,
2020-03-10,22,17,28,0,0,0,4.62,5.72,6.82,1.1,1.87,2.64,9024.4,9019.78,9018.68,9017.58,1085,1083.9,1083.13,1082.36,0.2992,0.8602,1.309,2325,2324.7008,2324.1398,2323.691,0,,,,0,,,,10703,3820.971,,1,0,,,
2020-03-11,29,22,36,0,0,0,6.09,7.54,8.99,1.45,2.465,3.48,9024.4,9018.31,9016.86,9015.41,1085,1083.55,1082.535,1081.52,0.3944,1.1339,1.7255,2325,2324.6056,2323.8661,2323.2745,0,,,,0,,,,10703,3820.971,,1,0,,,
2020-03-12,38,29,48,0,0,1,7.98,9.88,11.78,1.9,3.23,4.56,9024.4,9016.42,9014.52,9012.62,1085,1083.1,1081.77,1080.44,0.5168,1.4858,2.261,2325,2324.4832,2323.5142,2322.739,0,,,,0,,,,10703,3820.971,,1,0,,,
2020-03-13,50,38,63,1,1,1,10.5,13,15.5,2.5,4.25,6,9024.4,9013.9,9011.4,9008.9,1085,1082.5,1080.75,1079,0.68,1.955,2.975,2325,2324.32,2323.045,2322.025,0,,,,0,,,,10703,3820.971,,1,0,,,
2020-03-14,65,50,83,1,1,1,13.65,16.9,20.15,3.25,5.525,7.8,9024.4,9010.75,9007.5,9004.25,1085,1081.75,1079.475,1077.2,0.884,2.5415,3.8675,2325,2324.116,2322.4585,2321.1325,0,,,,0,,,,10703,3820.971,,1,0,,,
2020-03-15,86,66,109,1,1,1,18.06,22.36,26.66,4.3,7.31,10.32,9024.4,9006.34,9002.04,8997.74,1085,1080.7,1077.69,1074.68,1.1696,3.3626,5.117,2325,2323.8304,2321.6374,2319.883,0,,,,0,,,,10703,3820.971,,2,0,,,
2020-03-16,113,87,144,1,1,1,23.73,29.38,35.03,5.65,9.605,13.56,9024.4,9000.67,8995.02,8989.37,1085,1079.35,1075.395,1071.44,1.5368,4.4183,6.7235,2325,2323.4632,2320.5817,2318.2765,0,,,,0,,,,10703,3820.971,,2,0,,,
2020-03-17,149,114,190,2,2,2,31.29,38.74,46.19,7.45,12.665,17.88,9024.4,8993.11,8985.66,8978.21,1085,1077.55,1072.335,1067.12,2.0264,5.8259,8.8655,2325,2322.9736,2319.1741,2316.1345,0,,,,0,,,,10703,3820.971,,2,0,,,
2020-03-18,196,150,251,2,2,3,41.16,50.96,60.76,9.8,16.66,23.52,9024.4,8983.24,8973.44,8963.64,1085,1075.2,1068.34,1061.48,2.6656,7.6636,11.662,2325,2322.3344,2317.3364,2313.338,0,,,,0,,,,10703,3820.971,,3,0,,,
2020-03-19,257,196,330,3,3,3,53.97,66.82,79.67,12.85,21.845,30.84,9024.4,8970.43,8957.58,8944.73,1085,1072.15,1063.155,1054.16,3.4952,10.0487,15.2915,2325,2321.5048,2314.9513,2309.7085,0,,,,0,,,,10703,3820.971,,4,0,,,
2020-03-20,339,256,435,4,4,4,71.19,88.14,105.09,16.95,28.815,40.68,9024.4,8953.21,8936.26,8919.31,1085,1068.05,1056.185,1044.32,4.6104,13.2549,20.1705,2325,2320.3896,2311.7451,2304.8295,0,,,,0,,,,10703,3820.971,,5,0,,,
2020-03-21,445,335,575,5,5,6,93.45,115.7,137.95,22.25,37.825,53.4,9024.4,8930.95,8908.7,8886.45,1085,1062.75,1047.175,1031.6,6.052,17.3995,26.4775,2325,2318.948,2307.6005,2298.5225,0,,,,0,,,,10703,3820.971,,6,0,,,
2020-03-22,586,439,759,7,6,8,123.06,152.36,181.66,29.3,49.81,70.32,9024.4,8901.34,8872.04,8842.74,1085,1055.7,1035.19,1014.68,7.9696,22.9126,34.867,2325,2317.0304,2302.0874,2290.133,0,,,,0,,,,10703,3820.971,,8,0,,,
2020-03-23,770,576,1001,9,8,10,161.7,200.2,238.7,38.5,65.45,92.4,9024.4,8862.7,8824.2,8785.7,1085,1046.5,1019.55,992.6,10.472,30.107,45.815,2325,2314.528,2294.893,2279.185,0,,,,0,,,,10703,3820.971,,10,0,,,
2020-03-24,1013,755,1321,12,11,13,212.73,263.38,314.03,50.65,86.105,121.56,9024.4,8811.67,8761.02,8710.37,1085,1034.35,998.895,963.44,13.7768,39.6083,60.2735,2325,2311.2232,2285.3917,2264.7265,0,,,,0,,,,10703,3820.971,,13,0,,,
2020-03-25,1333,988,1745,16,14,17,279.93,346.58,413.23,66.65,113.305,159.96,9024.4,8744.47,8677.82,8611.17,1085,1018.35,971.695,925.04,18.1288,52.1203,79.3135,2325,2306.8712,2272.8797,2245.6865,0,,,,0,,,,10703,3820.971,,17,0,,,
2020-03-26,1753,1293,2302,20,18,23,368.13,455.78,543.43,87.65,149.005,210.36,9024.4,8656.27,8568.62,8480.97,1085,997.35,935.995,874.64,23.8408,68.5423,104.3035,2325,2301.1592,2256.4577,2220.6965,0,,,,0,,,,10703,3820.971,,23,0,,,
2020-03-27,2306,1689,3034,27,24,30,484.26,599.56,714.86,115.3,196.01,276.72,9024.4,8540.14,8424.84,8309.54,1085,969.7,888.99,808.28,31.3616,90.1646,137.207,2325,2293.6384,2234.8354,2187.793,0,,,,0,,,,10703,3820.971,,30,0,,,
2020-03-28,3033,2215,4004,35,31,40,636.93,788.58,940.23,151.65,257.805,363.96,9024.4,8387.47,8235.82,8084.17,1085,933.35,827.195,721.04,41.2488,118.5903,180.4635,2325,2283.7512,2206.4097,2144.5365,0,,,,0,,,,10703,3820.971,,39,0,,,
2020-03-29,3988,2901,5289,47,41,52,837.48,1036.88,1236.28,199.4,338.98,478.56,9024.4,8186.92,7987.52,7788.12,1085,885.6,746.02,606.44,54.2368,155.9308,237.286,2325,2270.7632,2169.0692,2087.714,0,,,,0,,,,10703,3820.971,,51,0,,,
